hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0311-2,,HITACHI,BELGIUM,Antwerp,Khalifa port,ALETTE MAERSK,85049090,SEK,15857.62
HVDC-ADOPT-HE-0312,,HITACHI,ITALY,Milan,Abu Dhabi Airport,EY0082,85321000,SEK,291794.4
HVDC-ADOPT-HE-0313,,HITACHI,ITALY,Milan,Abu Dhabi Airport,EY0082,85321000,SEK,19051.2
HVDC-ADOPT-HE-0314,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ALETTE MAERSK,85371098,SEK,1133270.0
HVDC-ADOPT-HE-0315,,HITACHI,BELGIUM,Antwerp,Khalifa port,MORNING PEACE,85332900,SEK,362330.6
HVDC-ADOPT-HE-0316,,HITACHI,BELGIUM,Antwerp,Khalifa port,MORNING PEACE,85332900,SEK,362330.6
HVDC-ADOPT-HE-0317-1,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0317-2,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85471098,SEK,566635.0
HVDC-ADOPT-HE-0317-3,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85571098,SEK,566635.0
HVDC-ADOPT-HE-0318-1,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0318-2,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0318-3,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0318-4,,HITACHI,SWEDEN,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0319-1,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0319-2,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0319-3,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY,85371098,SEK,566635.0
HVDC-ADOPT-HE-0320,,HITACHI,BELGIUM,Antwerp,Khalifa port,MAERSK HERRERA,85049090,SEK,32581.87
HVDC-ADOPT-HE-0321,,HITACHI,BELGIUM,Antwerp,Khalifa port,MAERSK HAMBURG,85049090,SEK,20273.99
HVDC-ADOPT-HE-0322,,HITACHI,SWEDEN,Gothenburg,Khalifa port,Maersk Hamburg,85371098,SEK,566635.0
HVDC-ADOPT-HE-0323,,HITACHI,BELGIUM,Antwerp,Khalifa port,MAERSK HORSBURGH,85049090,SEK,16630.06
HVDC-ADOPT-HE-0324,,HITACHI,BELGIUM,Antwerp,Khalifa port,MAERSK HORSBURGH,85049090,SEK,10646.28
HVDC-ADOPT-HE-0325-1,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC LORETO,85421098,SEK,566635.0
HVDC-ADOPT-HE-0325-2,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC LORETO,85371098,SEK,566635.0
